<music21.chord.Chord A4 B-4>|<music21.note.Rest rest>
<music21.chord.Chord A2 C4 F4 A4 C5 A5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord A2 C4 F4 A4 C5 A5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord A2 F4 A4 C5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord B-2 F4 A4 C5 D5 C6 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord B-2 F4 B-4 D5 D6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord B-2 F4 G4 B-4 D5 D6>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord B-2 F4 G4 B-4 C5 C6>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord B-2 F4 B-4 C5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord C3 F4 A4 B-4 C5 A5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 F4 A4 B-4 C5 A5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord C3 F4 A4 B-4 C5 A5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord C3 F4 A4 B-4 C5 A5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C3 E4 F4 A4 B-4 C5 A5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord C2 E4 F4 A4 B-4 C5 A5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C2 E4 A4 B-4 C5 A5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord C2 D4 G4 G5 B-5 C6>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord C2 D4 F4 F5 B-5 C6>|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord C2 D4 E4 F4 E5 F5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord F2 D4 E4 F4 E5 F5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord F2 D4 F4 F5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|<music21.chord.Chord B1 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord F2 C4 F4 A4 F5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord F2 D4 F4 B-4 F5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
0|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
<music21.chord.Chord F2 C4 D4 F4 A4 B-4 F5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 C#4 B-4 E-5>
0|0
0|0
0|0
0|<music21.chord.Chord F#2 C4 B-4 E-5>
0|0
0|<music21.chord.Chord F#2 C4 B-4 E-5>
0|0
0|<music21.chord.Chord F#2 C4 B-4 E-5>
0|0
0|<music21.chord.Chord F#2 C4 B-4 E-5>
0|0
0|<music21.chord.Chord F#2 C4 B-4 E-5>
0|0
0|0
0|0
<music21.chord.Chord F2 C4 E4 F4 A4 E5 F5 B-5 C6>|<music21.chord.Chord B1 F#2 C4 B-4 E-5>
0|0
0|0
0|0
0|0
0|0
<music21.chord.Chord F2 C4 E4 A4 E5 B-5 C6>|<music21.chord.Chord F#2 C4 E-5>
0|0
<music21.chord.Chord F2 E4 C#5 E5 B-5 C6 C#6>|0
0|0
0|0
0|0
